label	text
35	广告追踪方法、广告追踪系统和电子设备<sep>本公开提供了一种广告追踪方法<sep>该广告追踪方法包括：获取激活目标app时上传的用于追踪该目标app的推广方的激活监测数据，其中，激活监测数据除了包含网络信息之外至少还包含app激活位置信息，网络信息包含上传激活监测数据所使用的ip地址和/或ua信息；查找用于推广目标app的推广广告被用户触发时上传的用于追踪提供推广广告的推广方的广告监测数据，其中，广告监测数据除了包含网络信息之外至少还包含广告触发位置信息的广告监测数据；以及根据获取的app激活位置信息和查找到的广告触发位置信息，对推广目标app的推广方进行追踪<sep>本公开还提供了另一种广告追踪方法、广告追踪系统、电子设备、计算机系统和计算机可读存储介质
35	一种数字化彩页促销管理和分析方法、存储设备及移动终端<sep>本发明公开了一种数字化彩页促销管理和分析方法<sep>适用于在计算机设备中执行，包括用于储存有商品数据的数据库，该方法包括以下步骤：s1.商品彩页采集；s2.数字化处理：图像分割；内容识别；要素分析；补充校对；数据存储；s4.彩页发布：将储存好的商品数据进行发布，发布内容包括商品图片以及对应的商品基础信息<sep>本发明实现了宣传海报的流程化、自动化处理，迅速实现彩页的电子化、多渠道发布展示以及投放效果反馈及时准确的效果
35	电梯广告终端故障报修方法及相关产品<sep>本公开提供一种电梯广告终端故障报修方法及相关产品<sep>所述方法包括如下步骤：周期性的向监控系统发送请求消息，该请求消息包括：获取的视频时间以及电梯的位置；接收监控系统返回的第一视频，所述第一视频为与所述电梯的位置以及视频时间对应的视频文件；提取在该视频时间播放的第二视频，将该第一视频与第二视频比对确定是否一致，如不一致，确定显示故障，向广告服务器发送故障报修请求<sep>本申请提供的技术方案实现了自动报修，所以其具有故障报修的优点
35	基于快递包裹的广告投放管理方法及装置<sep>本发明公开了基于快递包裹的广告投放管理方法及装置<sep>该方法包括检测用户在用户终端的交互界面上针对当前广告内容触发的目标操作，该当前广告内容为用户对应的快递包裹上所承载的广告内容，且该交互界面用于显示所述当前广告内容；确定该目标操作的操作类型，并向管理平台反馈该目标操作的操作类型，该管理平台为向用户终端推送当前广告内容的管理平台<sep>本发明能够通过用户终端反馈的收件人针对广告内容的操作类型，知晓广告内容的投放效果，不仅优化了广告投放管理方法，而且还可以利用快递包裹的流量资源在快递包裹上实现广告的精准投放，从而实现广告内容的有效推广
35	媒体信息处理方法及系统<sep>本发明公开了一种媒体信息处理方法及系统<sep>方法包括：获取广告投放方设置的待投放的广告并存储至广告库，以及，获取广告投放方针对媒体信息设置的定向投放信息；基于定向投放信息为媒体信息对应生成标签，以及，基于为不同媒体信息对应生成的标签在索引库中创建索引，广告库中的媒体信息与索引库中的标签关联；从终端获取特征参数，将终端的特征参数与索引库中的标签进行匹配得到匹配成功的目标广告；将目标广告发送至终端呈现，以及，响应终端在呈现目标广告后发送的媒体信息请求<sep>实施本发明，能够提升向终端推送媒体信息的准确度，保证广告资源的有效利用率
35	一种基于体感设备的广告推荐系统<sep>本发明公开了一种基于体感设备的广告推荐系统<sep>包括数据库模块、人脸信息提取模块、广告推荐模块、广告播放模块和管理模块。数据库模块包括用户数据库、人脸特征库和广告视频库；人脸信息提取模块包括体感设备人脸信息提取模块和虹软人脸信息提取模块，二者共同实现从用户观看广告的过程中获取用户有效信息和确定用户身份的功能；广告推荐模块的工作过程包含学习阶段和推荐阶段，在学习阶段，将观看广告的各用户利用深度学习得到的网络模型生成二进制编码，在推荐阶段，对不同用户的二进制编码进行相似性比较，生成推荐列表，得到下一个播放的广告名称；管理模块对其他各模块的接口进行调用管理<sep>本发明有效利用了用户信息，提升了广告投放效果
35	向广告主建议用于在线内容项的创意类型的系统和方法<sep>提供一种计算机实现的方法<sep>用于为在线内容提供者生成创意类型建议。该方法使用包括处理器和存储器的计算设备。该方法包括用包括(i)在线广告的派发效能和(ii)广告主信息中的一个或更多个的历史信息训练第一模型。该方法还包括使用至少该第一模型计算初步创意类型建议。该方法进一步包括至少部分地基于过去建议效能修改该初步创意类型建议来生成最终创意类型建议<sep>该方法还包括将该最终创意类型建议呈现给该在线内容提供者
35	数值转移方法、装置、计算机设备和存储介质<sep>本申请涉及一种数值转移方法、系统、计算机设备和存储介质<sep>所述方法包括：接收数值转移方终端上传的数值转移请求，所述数值转移请求中携带了数值接收方标识、待转移数值；根据所述数值接收方标识获取对应的数值调节信息和广告标识；利用所述数值调节信息对所述待转移数值进行调节，将调节后的数值转移至数值接收方，生成相应的数值转移信息；获取与所述广告标识对应的广告内容，将所述数值转移信息与所述广告内容返回至数值转移方终端进行展示<sep>采用本方法在数值转移时能够有效提高广告的播放次数
35	页面信息处理方法及装置<sep>本申请实施例公开了页面信息处理方法及装置<sep>其中，该方法包括：服务器接收客户端发送的多页面投放请求；确定待投放的多个页面，以及各页面对应的访问条件信息；利用同一第一网址对各页面进行封装；根据所述第一网址生成待投放信息，并保存所述第一网址与各页面的第二网址、访问条件之间的关联关系，以便在所述第一网址被访问时，将访问者用户的信息与各页面访问条件进行比对，并将匹配成功的页面返回<sep>通过本申请实施例，兼顾了页面的曝光率以及转化率，并且，投放效率以及第一用户的投放自主性也得到了提高
35	网页处理方法及装置<sep>本发明涉及一种网页处理方法及装置<sep>其方法包括：响应用户端操作指令，显示网页正文页；在网页正文页接收用户端触发的网页评论指令；根据网页评论指令，在网页正文页的显示屏幕上显示网页评论页<sep>本发明进入网页评论页无需用户多次点击或跳转，由此使得用户可以更加顺畅的进入新闻评论页查看评论和进行评论操作，提高了网页评论操作的效率和用户活跃度
