assignee
Anhui Masteel Surface Technology Co., Ltd.
Jiangsu Qixiang High-tech Materials Co., Ltd.
Chongqing University
Haier Smart Home Co., Ltd.
ZTE Corporation
Anhui Zhengxi Biaowang New Energy Co., Ltd.
Xijing College
Hubei Dayan FRP Co., Ltd.
Shenzhen Nanfeng Water Treatment Service Co., Ltd.
The 38th Research Institute of China Electronics Technology Group Corporation
Shanghai Huawei Technologies Co., Ltd.
Beijing Jike Guochuang Lightweight Science Research Institute Co., Ltd.
Impec Medical Systems Co., Ltd.
Beijing China United Ultra HD Collaboration Technology Center Co., Ltd.
Beijing Qingda High-tech System Control Co., Ltd.
Huawei Technologies Co., Ltd
Shandong Normal University
Beijing Enno Technology Co., Ltd.
Beijing Institute of Technology
Shanghai Jiaotong University
Yang Baobo
DRNC Holdings
Zhejiang University
Janssen Vaccines & Prevention
Shandong Yongzheng Industrial Technology Research Institute Co., Ltd.
Shanghai Tianma Microelectronics Co., Ltd.
South China University of Technology
Nanjing University of Posts and Telecommunications
The First Affiliated Hospital of Wenzhou Medical University
Fuzhou University
Shenzhen Mailiao Technology Transfer Center Co., Ltd.
Chongqing University of Technology
Chengdu University
Shanghai Huali Microelectronics Co., Ltd.
Xi'an Petroleum University
Harbin Institute of Technology
Huaihua Jinyan Kiwi Fruit Co., Ltd.
Sun Yat-Sen University
SMIC Integrated Circuit Manufacturing (Beijing) Co., Ltd.
Wenzhou Hongfeng Electrical Alloy Co., Ltd.
Huawei Technologies Co., Ltd
Huada Semiconductor Co., Ltd.
Suzhou Inspur Intelligent Technology Co., Ltd.
Huawei Technologies Co., Ltd
Ningbo Deye Powder Metallurgy Co., Ltd.
Suzhou Runyang Photovoltaic Technology Co., Ltd.
Meizhou Zhanhong Furniture Co., Ltd.
Hunan Institute of Agricultural Biotechnology
Nippon Telegraph and Telephone Co., Ltd.
Sichuan Colorful Forest Co., Ltd.
Tianjin Zhongwang Aluminum Co., Ltd.
Hitachi Building Technology (Guangzhou) Co., Ltd.
Go Out and Ask Information Technology Co., Ltd.
Zhejiang Huafeng Spandex Co., Ltd.
Qingdao Juhaolian Technology Co., Ltd.
Samsung Electronics Co., Ltd.
Brother Industries Co., Ltd.
Advantest Testing Company
Zhejiang Jihe Hospital Management Co., Ltd.
Beijing University of Posts and Telecommunications
Beijing Jiaotong University
Innovation Advanced Technology Co., Ltd.
Beijing Xiaomi Mobile Software Co., Ltd.
New H3C Technology Co., Ltd.
Jiangsu Yuanda Xianle Pharmaceutical Co., Ltd.
Guizhou Zhengben Qingyuan Environmental Protection Technology Co., Ltd.
Livermore Software Technologies
Midea Group Co., Ltd.
Zhejiang Fanya Biomedicine Co., Ltd.
Guangdong Qingdatongke Environmental Protection Technology Co., Ltd.
Shangmai (Zhenjiang) New Energy Technology Co., Ltd.
Beijing Institute of Electronic Engineering
Zhuhai Meizu Technology Co., Ltd.
Beijing Leisaiweilan Laser Equipment Co., Ltd.
Tsinghua University
Beijing Sifang Relay Automation Co., Ltd.
Shenzhen Duoduo New Technology Co., Ltd.
Taizhou Jiji Intellectual Property Operation Co., Ltd.
Tsinghua University
Huida Sanitary Ware Co., Ltd.
Affiliated Stomatological Hospital of Nanjing Medical University
University of Electronic Science and Technology of China
East China Normal University
Beijing Xuanji Information Technology Co., Ltd.
Beijing Anyun Century Technology Co., Ltd.
Jidian (Chuzhou) Zhangguang Wind Power Generation Co., Ltd.
Nan'an Jinfeng Industrial Design Co., Ltd.
Ningxia Jinwei Pharmaceutical Co., Ltd.
Shanghai Hehui Optoelectronics Co., Ltd.
Shandong Pengchuang Agricultural Technology Development Co., Ltd.
Beijing Kaijiang Intelligent Automation Technology Co., Ltd.
Zhou Ruizhu
Dongyou Fine Chemical Co., Ltd.
Shishi Longxinglong Dyeing and Weaving Industry Co., Ltd.
Heilongjiang University of Traditional Chinese Medicine
Wuhan Kangbenlong Medical Equipment Co., Ltd.
Guangzhou Institute of Energy, Chinese Academy of Sciences
Zhuhai Gree Electric Appliances Co., Ltd.
Huawei Technologies Co., Ltd
Guangxi Great Wall Machinery Co., Ltd.
Wuxi Zhenhe Biotechnology Co., Ltd.
Beijing Institute of Technology
Innovation Advanced Technology Co., Ltd.
China University of Petroleum (East China)
Nippon Paint Holdings Co., Ltd.
LG Display Co., Ltd.
Shanghai Tianma Microelectronics Co., Ltd.
Accenture Global Services Ltd.
Shanghai Jiaotong University
Tongcheng Renhe Packaging Co., Ltd.
Han's Laser Technology Industry Group Co., Ltd.
Xi'an Jiaotong University
Shanghai Jiaotong University
Nanjing University of Posts and Telecommunications
Institute of Optoelectronic Technology, Chinese Academy of Sciences
Huawei Technologies Co., Ltd
Qingdao Haier Multimedia Co., Ltd.
Nippon Electric Co., Ltd.
Jinan Universty
Shanghai Pengxi Semiconductor Co., Ltd.
China University of Petroleum (East China)
Hyundai Mobis Corporation
Pisai
Jiangsu Chengying New Materials Co., Ltd.
Guodian United Power Technology Co., Ltd.
Huazhong University of Science and Technology
Chuzhou Huifeng Construction Installation Co., Ltd.
Beijing Quanlu Communication Signal Research and Design Institute Group Co., Ltd.
Henan Huanyu Environmental Protection Technology Co., Ltd.
Ericsson Sweden Ltd.
Chengdu University of Information Technology
Jingichi Green Technology Co., Ltd.
Agricultural Bank of China Limited
Shanghai University of Engineering and Technology
Fudan University
Lianyungang Pengchen Special New Materials Co., Ltd.
Guangxi Frogshen Industrial Co., Ltd.
Shanghai Love Food Robot (Group) Co., Ltd.
Zhejiang Gold Intelligent Suspension Co., Ltd.
Capital medical university
Xi'an University of Science and Technology
Guizhou Shengkaide Technology Co., Ltd.
Huawei Technologies Co., Ltd
Xi'an Jiaotong University
Jin Jing send
Wuhan Aide Technology Development Co., Ltd.
Cotton Research Institute, Chinese Academy of Agricultural Sciences
Industrial Technology Incubation Center of Guangdong Academy of Sciences
Shanghai SuChuang Diagnostic Products Co., Ltd.
Zhuhai Zhongke Advanced Technology Research Institute Co., Ltd.
University of Science and Technology of China
Apple
Zhejiang Sanbao Intellectual Property Service Co., Ltd.
Wayne Testing Technology (Wuhan) Co., Ltd.
Nanjing University of Posts and Telecommunications
Xiangtan University
Fuzhou Mingfang Auto Parts Industry Co., Ltd.
Taiyuan Lubang Technology Co., Ltd.
Chongqing University of Posts and Telecommunications
TCL Huaxing Optoelectronics Technology Co., Ltd.
French Automobile (China) Co., Ltd.
North China Electric Power University (Baoding)
Hubei Qinhong New Materials Co., Ltd.
Beijing Automobile Co., Ltd.
Nanjing University
Foshan Nanhai Donglian Painting Co., Ltd.
Shin-Etsu Chemical Industry Co., Ltd.
Hangzhou Fangxiang Medical Equipment Co., Ltd.
State Grid Corporation of China
Jinbei Electric Co., Ltd.
Shenzhen Huaxing Optoelectronics Semiconductor Display Technology Co., Ltd.
